Ingredient,Quantity
campbell's chunky soups bf w country veg soup,649
campbell's chunky soups bf w white  wild rice soup,331
campbell's chunky creamy chick  dumplings soup,477
campbell's chunky soups chick broccoli chs  potato soup,463
campbell's chunky soups chick corn chowder,509
campbell's chunky classic chick noodle soup,324
campbell's chunky soups fajita chick w rice  bns soup,321
campbell's chunky soups firehouse - hot spicy bf bean chili,900
campbell's chunky soups grilled chick sausage gumbo soup,407
campbell's chunky soups grilled chick veg  pasta soup,563
soup crm of asparagus cnd prep w eq volume h2o,374
soup black bean cnd prep w eq volume h2o,718
campbell's chunky soups grilled sirloin steak hearty veg sp,888
soup bean w pork cnd prep w eq volume h2o,479
campbell's chunky healthy request chick noodle soup,267
soup bean w frankfurters cnd prep w eq volume h2o,958
campbell's chunky soups healthy request veg soup,171
soup bf noodle cnd prep w eq volume h2o,519
soup crm of celery cnd prep w eq volume h2o,651
soup chs cnd prep w eq volume h2o,346
soup chick broth cnd prep w eq volume h2o,409
campbell's chunky soups hearty bean 'n' ham soup,450
campbell's chunky soups hearty bf barley soup,833
soup crm of chick cnd prep w eq volume h2o,458
soup chick gumbo cnd prep w eq volume h2o,961
campbell's chunky soups hearty chick w veg soup,512
soup chick noodle cnd prep w eq volume h2o,311
soup chick w rice cnd prep w eq volume h2o,910
soup chili bf cnd prep w eq volume h2o,869
soup clam chowder manhattan cnd prep weq volume h2o,647
campbell's chunky soups manhattan clam chowder,121
soup clam chowder new england cnd prep w eq volume h2o,360
campbell's chunky new england clam chowder,537
soup bf broth bouillon consomme prep w eq volume h2o,542
campbell's chunky soups old fashioned potato ham chowder,337
campbell's chunky soups old fashioned veg bf soup,828
campbell's chunky soups roadhouse - bf bean chili,322
campbell's chunky soups salisbury steak mushrms onions soup,355
campbell's chunky soups savory chick white wild rice soup,508
soup minestrone cnd prep w eq volume h2o,179
campbell's chunky soups savory pot rst soup,363
soup mushroom barley cnd prep w eq volume h2o,489
soup crm of mushroom cnd prep w eq volume h2o,999
soup mushroom w bf stock cnd prep w eq volume h2o,169
soup crm of onion cnd prep w eq volume h2o,650
campbell's chunky soups savory veg soup,310
soup oyster stew cnd prep w eq volume h2o,578
soup pea grn cnd prep w eq volume h2o,845
soup pea split w ham cnd prep w eq volume h2o,821
soup crm of potato cnd prep w eq volume h2o,274
campbell's chunky soups grilled steak- steak chili w bns,311
soup crm of shrimp cnd prep w eq volume h2o,361
campbell's chunky soups slow rstd bf w mushrooms soup,732
campbell's chunky soups split pea 'n' ham soup,353
soup tomato bf w noodle cnd prep w eq volume h2o,549
campbell's chunky soups steak 'n' potato soup,670
soup tomato rice cnd prep w eq volume h2o,531
soup turkey noodle cnd prep w eq volume h2o,212
soup turkey veg cnd prep w eq volume h2o,801
soup vegetarian veg cnd prep w eq volume h2o,978
campbell's lo na soups chick broth,276
soup veg bf cnd prep w eq volume h2o,844
soup veg w bf broth cnd prep w eq volume h2o,647
soup bf broth or bouillon pdr prep wh2o,189
soup bf broth cubed prep wh2o,566
soup chick broth or bouillon dry prep w h2o,663
soup chick broth cubes dry prep w h2o,920
campbell's lo na soups chick w noodles soup,583
soup crm of chick dry mix prep w h2o,955
campbell's lo na soups crm of mushroom soup,920
soup onion dry mix prep w h2o,101
campbell's red  white - mcrwveable bowls chick noodle soup,410
soup tomato dry mix prep w h2o,292
campbell's red  white - microwaveable bowls chick rice soup,521
campbell's red  white - mcrwveable bowls creamy tomato soup,154
campbell's red  white - microwaveable bowls tomato soup,783
campbell's red  white - microwaveable bowls veg bf soup,569
campbell's homestyle butternut squash bisque,426
soup chick noodle dry mix prep w h2o,138
campbell's homestyle lt new england clam chowder,940
campbell's homestyle hr mexican style chick tortilla,943
campbell's homestyle italian-style wedding soup,527
campbell's homestyle mexican style chick tortilla soup,463
campbell's homestyle minestrone soup,895
campbell's homestyle new england clam chowder,425
campbell's homestyle potato broccoli chs soup,942
soup bf mushroom cnd prep w eq volume h2o,283
campbell's homestyle chick w white  wild rice soup,218
soup chick mushroom cnd prep w eq volume h2o,357
soup tomato bisque cnd prep w eq volume h2o,496
soup tomato cnd prep weq volume h2o comm,587
campbell's homestyle veg medley soup,673
soup ramen noodle any flavor dry,869
soup broccoli chs cnd cond comm,435
campbell's soup on the go veg w mini rnd noodles soup,290
campbell's soup on the go chick  stars soup,340
campbell's soup on the go chick w mini noodles soup,845
campbell's soup on the go classic tomato soup,609
campbell's soup on the go creamy broccoli soup,945
campbell's soup on the go creamy chick soup,838
campbell's soup on the go creamy tomato soup,871
campbell's soup on the go new england clam chowder,142
campbell's soup on the go veg bf soup,197
campbell's soup on the go cheesy potato w bacon flavor soup,620
pace chipotle chunky salsa,536
pace cilantro chunky salsa,756
pace enchilada sau,925
pace grn taco sau,347
pace lime  garlic chunky salsa,391
pace organic picante sau,680
pace picante sau,585
pace red taco sau,939
pace thick  chunky salsa,234
swanson broth cert organic veg broth,309
soup swanson bf broth lower na,127
soup swanson veg broth,899
campbell's homestyle lt italian-style wedding soup,785
sauce pnut made from cocnt h2o sugar pnuts,637
smart soup santa fe corn chowder,606
smart soup french lentil,333
smart soup greek minestrone,639
smart soup indian bean masala,391
smart soup moroccan chick pea,450
smart soup thai cocnt curry,208
smart soup vietnamese carrot lemongrass,871
sauce pesto rts refr,852
sauce pesto rts shelf stable,746
sauce pesto buitoni pesto w basil rts refr,861
sauce pesto classico basil pesto rts,222
sauce pesto mezzetta napa valley bistro basil pesto rts,502
sauce hot chile sriracha,860
sauce hot chile sriracha cha! by texas pete,162
sauce hot chile sriracha tuong ot sriracha,813
soup veg broth ready to serve,234
sauce chs sau mix dry,167
soup chick corn chowder chunky rts single brand,102
soup chick mushroom chowder chunky rts single brand,208
soup potato ham chowder chunky rts single brand,314
soup sirloin burger wveg rts single brand,464
soup split pea w ham chunky red fat red na rts single brand,505
soup bean wbacon cond single brand,433
soup bf wvegbarley cnd cond single brand,449
soup chick wstar-shaped pasta cnd cond single brand,321
soup crm of chick cnd cond single brand,592
soup split pea whambacon cnd cond single brand,752
soup veg bf cnd cond single brand,941
soup chick veg chunky red fat red na rts single brand,125
soup veg bf microwavable rts single brand,661
soup progresso bf barley traditional ready to serve,629
soup bf  veg cnd rts,349
sauce chs rts,163
sauce pasta spaghettimarinara rts,617
prego pasta traditional italian sau rts,984
soup crm of chick cnd cond red na,802
soup tomato cnd cond red na,153
gravy brown inst dry,483
gravy inst bf dry,426
gravy inst turkey dry,927
sauce alfredo mix dry,229
sauce peppers hot chili mature red cnd,899
sauce chili peppers hot immat grn cnd,567
fish broth,660
soup tomato lo na wh2o,622
soup pea lo na prep w eq volume h2o,175
soup chick noodle lo na cnd prep w eq volume h2o,213
soup veg soup cond lo na prep w eq volume h2o,447
soup crm of mushroom lo na rts cnd,289
potato soup inst dry mix,870
soup chick broth lo na cnd,290
sauce worcestershire,630
sauce tomato chili sau btld wsalt,692
soup veg chick cnd prep w h2o lo na,184
sauce pasta spaghettimarinara rts lo na,808
gravy meat or poultry lo na prep,479
soup bf  mushroom lo na chunk style,873
soup bf stroganoff cnd chunky style rts,797
soup bouillon cubesgranules lo na dry,539
soup ramen noodle bf flavor dry,621
soup ramen noodle chick flavor dry,220
soup swanson chick broth 99 fat free,986
gravy heinz home style savory bf,664
campbell's healthy request chick noodle soup cond,811
healthy request crm of celery cond,125
campbell's healthy request crm of mushroom soup cond,880
campbell's healthy request homestyle chick noodle soup cond,412
healthy request minestrone soup cond,365
healthy request tomato soup cond,749
healthy request veg soup cond,537
prego pasta chunky garden comb italian sau rts,300
prego pasta chnky grdn tmto on  grlic ital sau rts,337
gravy campbell's au jus,259
gravy campbell's bf,715
gravy campbell's brown w onions,873
gravy campbell's chick,152
barbecue loaf pork beef,818
beerwurst beer salami pork  bf,743
beerwurst beer salami pork,883
sausage  berliner  pork  bf,767
blood sausage,970
bockwurst  pork  veal  raw,622
bologna bf,708
bologna bf  pork,217
bologna pork,144
bologna  turkey,391
bratwurst pork ckd,600
braunschweiger (a liver sausage) pork,111
brotwurst pork bf link,889
cheesefurter chs smokie pork bf,849
chicken sprd,644
chorizo pork and beef,210
corned beef loaf jellied,599
dutch brand loaf chick pork  bf,732
frankfurter bf unhtd,126
frankfurter chicken,249
frankfurter turkey,814
ham chopped canned,628
ham chopped not canned,460
ham sliced pre-packaged deli meat (96fat free h2o added),288
ham sliced reg (approx 11 fat),715
ham minced,473
ham salad spread,522
hamchs loaf or roll,511
ham and cheese spread,599
headcheese pork,918
sausage italian pork raw,846
knackwurst  knockwurst  pork  bf,318
lebanon bologna  bf,522
liver cheese pork,810
liver sausage liverwurst pork,264
roast bf deli style prepackaged sliced,725
usda cmdty luncheon meat cnd,211
luncheon meat pork canned,122
turkey breast lo salt prepackaged or deli luncheon meat,892
mortadella beef pork,980
olive loaf pork,628
pastrami turkey,151
pate chicken liver canned,568
pate goose liver smoked cnd,964
pate liver not specified cnd,270
peppered loaf  pork  bf,720
pepperoni bf  pork sliced,804
picklepimiento loaf pork,345
polish sausage pork,574
luxury loaf pork,569
mother's loaf pork,847
picnic loaf pork beef,267
pork sausage linkpatty unprep,495
pork sausage linkpatty ckd pan-fried,520
porkbf sausage frsh ckd,801
turkey sausage red fat brownserve ckd,919
poultry salad sndwch sprd,584
salami  ckd  bf,320
salami ckd bfpork,916
salami cooked turkey,351
salami dry or hard pork,887
salami dry or hard pork bf,644
sandwich spread pork beef,969
smoked link sausage pork,311
sausage smoked link sausage pork  bf,599
smoked link sausage porkbf nonfat dry milk,918
thuringer cervelat smmr sausage bf pork,432
turkey breast sliced prepackaged,903
sausage vienna cnd chick bf pork,805
honey roll sausage beef,807
sausage italian pork ckd,531
luncheon sausage porkbf,578
new england brand sausage pork bf,341
oscar mayer bologna (beef),941
oscar mayer braunschweiger liver sausage (sliced),369
oscar mayer  chicken breast (honey glazed),555
oscar mayer ham (chopped w nat juice),204
oscar mayer salami (hard),574
oscar mayer smokies sausage little chs (pork turkey),553
oscar mayer wieners (beef franks),767
turkey bacon unprep,932
hormel pillow pak sliced turkey pepperoni,577
turkey pork bf sausage lofat smoked,646
usda commodity pork sausage bulklinkspatties frz ckd,688
frankfurter bf pork  turkey fat free,579
luncheon meat pork ham chick mincd cnd red na vit c  (spam),944
usda commodity pork sausage bulklinkspatties frz raw,466
luncheon meat pork wham minced cnd incl spam (hormel),826
luncheon meat porkchick minced cnd incl spam lite,615
bratwurst  veal  ckd,904
liverwurst sprd,440
roast bf sprd,841
salami  pork  bf  less na,288
sausage  italian  swt  links,334
sausage  polish  bf w chick  hot,631
sausage  polish  pork  bf  smoked,256
sausage  pork  bf  w cheddar chs  smoked,562
sausage  smmr  pork  bf  stks  w cheddar chs,506
sausage  turkey  brkfst links  mild,672
swisswurst  pork  bf  w swiss chs  smoked,345
bacon  bf stks,425
bratwurst  bf  pork  smoked,714
bratwurst chick ckd,283
bratwurst  pork  bf  turkey  lite  smoked,392
pastrami  bf  98 fat-free,237
salami  italian  pork,313
sausage  italian  turkey  smoked,454
sausage  chick  bf  pork  skinless  smoked,792
sausage  turkey  hot  smoked,258
yachtwurst w pistachio nuts ckd,345
beerwurst  pork  bf,224
chicken breast  fat-free  mesq flavor  sliced,468
chicken breast  oven-roasted  fat-free  sliced,931
kielbasa polish turkey  bf smoked,456
oven-roasted chick breast roll,616
bologna  pork  turkey  lite,178
bologna  pork  turkey  bf,378
ham  honey  smoked  ckd,441
frankfurter pork,835
macaroni  chs loaf  chick  pork  bf,273
salami  italian  pork  bf  dry  sliced  50 less na,160
pate  truffle flavor,587
turkey breast smoked lemon pepper flavor 97 fat-free,970
turkey  white  rotisserie  deli cut,637
frankfurter  bf  htd,104
frankfurter  meat  htd,493
frankfurter  meat,765
scrapple pork,106
bologna chick turkey pork,297
pork sausage linkpatty fully ckd microwaved,529
beef sausage pre-cooked,306
turkey sausage frsh raw,228
beef sausage frsh ckd,644
pork  turkey sausage pre-cooked,821
turkey sausage frsh ckd,198
bologna chick pork bf,585
bologna chick pork,379
chicken breast deli rotisserie seasoned sliced prepackaged,192
frankfurter  meat and poultry  unheated,741
frankfurter  meat and poultry  cooked  boiled,413
frankfurter  meat and poultry  cooked  grilled,456
pork sausage linkpatty red fat unprep,135
pork sausage linkpatty red fat ckd pan-fried,492
pork sausage linkpatty fully ckd unhtd,431
kielbasa fully ckd grilled,769
kielbasa fully ckd pan-fried,197
kielbasa fully ckd unhtd,381
bologna meat  poultry,502
meatballs frz italian style,179
turkey bacon microwaved,803
bacon turkey lo na,829
sausage chick or turkey italian style lower na,462
ham smoked ex ln lo na,431
pork sausage red na ckd,533
sausage pork turkey  bf red na,793
cereals rte kellogg kellogg's all-bran original,808
cereals rte post alpha-bits,342
cereals rte kellogg kellogg's appl jacks,621
cereals rte kellogg kellogg's all-bran bran buds,559
cereals rte quaker cap'n crunch,292
cereals rte quaker cap'n crunch w crunchberries,938
cereals rte quaker cap'n crunch's pnut butter crunch,954
cereals rte general mills cheerios,936
cereals rte kellogg kellogg's cocoa krispies,633
cereals rte post cocoa pebbles,189
cereals rte general mills cookie crisp,495
cereals rte quaker quaker crunchy bran,349
cereals rte general mills corn chex,391
cereals rte kellogg kellogg's corn flakes,873
cereals rte kellogg kellogg's cracklin' oat bran,912
cereals rte ralston crisp rice,528
cereals rte kellogg kellogg's all-bran complete wheat flakes,995
cereals rte post bran flakes,565
cereals rte kellogg kellogg's froot loops,155
cereals rte kellogg's frstd mini-wheats big bite,987
cereals rte kellogg kellogg's frstd rice krispies,395
cereals rte post fruity pebbles,639
cereals rte general mills golden grahams,690
cereals rte granola homemade,620
cereals rte post grape-nuts crl,556
cereals rte post grape-nuts flakes,982
cereals rte general mills honey nut cheerios,883
cereals rte post honeycomb crl,963
cereals rte quaker king vitaman,381
cereals rte general mills kix,120
cereals rte quaker quaker oat life pln,490
cereals rte general mills lucky charms,148
cereals rte quaker 100 nat granola oats wheat  honey,448
cereals rte general mills honey nut chex,245
cereals rte kellogg kellogg's product 19,286
cereals rte quaker swt crunchquisp,354
cereals rte kellogg kellogg's raisin bran,100
cereals rte post raisin bran crl,576
cereals rte general mills rice chex,618
cereals rte kellogg kellogg's rice krispies,566
cereals rte quaker quaker puffed rice,343
cereals rte kellogg kellogg's spl k,237
cereals rte kellogg kellogg's corn pops,274
cereals rte kellogg kellogg's frstd flakes,897
cereals rte kellogg kellogg's honey smacks,779
cereals rte post golden crisp,373
cereals rte ralston tasteeos,898
cereals rte general mills whl grain total,815
cereals rte general mills trix,656
cereals rte post honey nut shredded wheat,206
cereals rte general mills wheat chex,480
cereals rte malt-o-meal corn bursts,466
cereals rte wheat germ tstd pln,233
cereals rte sun country kretschmer honey crunch wheat germ,489
cereals rte general mills multi-grain cheerios,719
cereals rte general mills wheaties,208
cereals corn grits white reg  quick enr dry,528
cereals corn grits white reg  quick enr ckd w h2o wo salt,434
cereals quaker corn grits inst pln dry,950
cereals quaker corn grits inst pln prep wo salt,178
cereals quaker corn grits inst cheddar chs flavor dry,276
cereals quaker inst grits country bacon flavor dry,993
cereals crm of rice dry,183
cereals crm of rice ckd wh2o wosalt,110
cereals crm of wheat reg 10 minute cooking dry,627
cereals crm of wheat reg (10 minute) ckd w h2o wo salt,845
cereals farina enr assorted brands dry,725
cereals farina enr assorted brands quick ckd w h2o wo salt,201
cereals cream of wheat inst dry,155
cereals cream of wheat inst prep w h2o wo salt,225
cereals farina enr ckd w h2o wo salt,575
cereals malt-o-meal original pln dry,222
cereals oats reg  quick not fort dry,413
cereals oats reg  quick unenr ckd w h2o wo salt,968
cereals oats inst fort pln dry,109
cereals oats inst fort pln prep w h2o,929
cereals quaker inst oatmeal appls  cinn dry,249
cereals oats inst fort w cinn  spice dry,375
cereals oats inst fort w cinn  spice prep w h2o,145
cereals quaker inst oatmeal maple  brown sugar dry,107
cereals oats inst fort w raisins  spice dry,633
cereals oats inst fort w raisins  spice prep w h2o,415
cereals rte malt-o-meal marshmllw mateys,334
cereals wheatena dry,818
cereals wheatena ckd w h2o,481
cereals whl wheat hot nat crl dry,250
cereals whl wheat hot nat crl ckd w h2o wo salt,602
cereals rte quaker quaker puffed wheat,369
cereals rte post shredded wheat original big biscuit,346
cereals rte post shredded wheat original spoon-size,863
cereals rte rice puffed fort,129
cereals rte wheat puffed fort,901
cereals corn grits yel reg  quick enr dry,213
cereals corn grits yel reg  quick unenr dry,831
cereals corn grits white reg  quick enr ckd w h2o w salt,334
cereals corn grits yel reg  quick enr ckd w h2o wo salt,803
cereals corn grits yel reg quick enr ckd w h2o w salt,331
cereals cream of rice ckd w h2o w salt,476
cereals crm of wheat reg (10 minute) ckd w h2o w salt,340
cereals farina unenr dry,531
cereals farina enr ckd w h2o w salt,676
cereals malt-o-meal choc dry,452
cereals oats reg  quick  inst unenr ckd w h2o w salt,695
cereals wheatena ckd w h2o w salt,592
cereals whl wheat hot nat crl ckd w h2o w salt,416
cereals rte kellogg kellogg's lofat granola wo raisins,477
cereals rte post shredded wheat lightly frstd spoon-size,387
cereals rte post selects blueberry morning,222
cereals rte general mills reese's puffs,110
cereals quaker quaker multigrain oatmeal dry,207
cereals rte general mills oatmeal crisp crunchy almond,101
cereals rte chocolate-flavored frstd puffed corn,927
cereals rte malt-o-meal coco-roos,991
cereals rte quaker quaker oat cinn life,333
cereals rte quaker honey graham oh!s,951
cereals rte quaker oatmeal squares,974
cereals rte quaker oatmeal squares cinn,757
cereals rte quaker tstd multigrain crisps,112
cereals rte quaker quaker granola w oats wheat raisins,762
cereals rte quaker lofat 100 nat granola w raisins,264
cereals quaker inst grits butter flavor dry,188
cereals quaker inst oatmeal fruit  crm var dry,461
cereals quaker inst oatmeal raisins dates  walnuts dry,596
cereals quaker oat bran quakermother's oat bran dry,945
cereals qkr oat bran prep wh2o no salt,557
cereals rte general mills berry burst cheerios triple berry,838
cereals oat bran qkr qkrmother's oat bran prep wh2o salt,916
cereals rte general mills honey nut clusters,605
cereals rte general mills fiber one bran crl,877
cereals rte general mills oatmeal crisp hearty raisin,311
cereals rte general mills total raisin bran,248
cereals quaker quaker multigrain oatmeal prep wh2o no salt,518
cereals quaker quaker multigrain oatmeal prep wh2o salt,431
cereals rte kellogg kellogg's crispix,527
cereals rte general mills raisin nut bran,183
cereals rte general mills basic 4,275
cereals rte general mills appl cinn cheerios,378
cereals rte general mills frstd cheerios,379
cereals rte general mills frankenberry,468
cereals rte general mills count chocula,609
cereals rte general mills cocoa puffs,321
cereals rte general mills cinn toast crunch,213
cereals rte general mills boo berry,800
cereals rte general mills berry berry kix,583
cereals rte general mills nature valley lofat fruit granola,522
cereals rte kellogg kellogg's lofat granola w raisins,304
cereals rte kellogg kellogg's mueslix,918
cereals rte kellogg kellogg's rice krispies treats crl,139
cereals rte health valley fiber 7 flakes,182
cereals rte post waffle crisp,696
cereals rte kellogg kellogg's honey crunch corn flakes,134
cereals quaker hominy grits white quick dry,844
cereals quaker hominy grits white reg dry,959
cereals rte kellogg kellogg's smart start antioxidants crl,126
cereals rte kellogg kellogg's frstd mini-wheats bite size,780
cereals rte malt-o-meal colossal crunch,829
cereals rte malt-o-meal berry colossal crunch,581
cereals rte malt-o-meal crispy rice,701
cereals rte malt-o-meal tootie fruities,265
cereals rte quaker mother's pnut butter bumpers crl,123
cereals rte quaker mother's tstd oat bran crl,509
cereals rte quaker mother's cinn oat crunch,999
cereals rte quaker mother's graham bumpers,923
cereals rte quaker mother's cocoa bumpers,941
cereals rte sun country kretschmer tstd wheat bran,577
cereals rte quaker shredded wheat bagged crl,509
cereals rte sun country kretschmer wheat germ reg,845
cereals rte general mills rice crunchins,119
cereals rte kellogg kellogg's marshmllw froot loops,148
cereals rte kellogg kellogg's raisin bran crunch,564
cereals rte kellogg kellogg's spl k red berries,980
cereals rte kellogg kellogg's mini-wheats unfrosted bite sze,437
cereals rte kashi golean crunch!,397
cereals rte kashi heart to heart honey tstd oat,523
cereals rte kashi 7 whl grain puffs,690
cereals rte kashi 7 whl grain honey puffs,479
cereals rte kashi good friends,750
cereals rte kashi golean,922
cereals quaker quick oats dry,432
cereals rte malt-o-meal frstd flakes,519
cereals quaker inst oatmeal cinnamon-spice dry,973
cereals quaker inst oatmeal dinosaur eggs brown sugar dry,368
cereals quaker inst oatmeal banana bread dry,446
cereals rte uncle sam crl,412
cereals quaker inst oatmeal raisin  spice dry,415
cereals quaker inst grits redeye grvy country ham flavor dry,948
cereals quaker inst grits product w american chs flavor dry,759
cereals quaker inst grits ham 'n' chs flavor dry,626
cereals quaker quick oats w iron dry,828
cereals quaker whl wheat nat crl dry,362
cereals rte kellogg kellogg's spl k chocolatey strawberry,106
cereals rte kellg's frstd mini-whts mple  brwn sgr bte sze,929
cereals rte kashi organic promise autumn wheat,481
cereals rte kashi organic promise strawberry fields,776
cereals rte kellogg's red sugar frstd flakes crl,474
cereals rte kellogg's spl k prot plus,432
cereals rte malt-o-meal honey buzzers,208
cereals rte malt-o-meal golden puffs,589
cereals rte malt-o-meal honey graham squares,464
cereals rte malt-o-meal raisin bran crl,991
cereals rte malt-o-meal blueberry muffin tops crl,766
cereals malt-o-meal farina hot wheat crl dry,443
cereals malt-o-meal maple  brown sugar hot wheat crl dry,777
cereals rte mom's best honey nut toasty o's,237
cereals rte malt-o-meal appl zings,267
cereals rte malt-o-meal cinn toasters,695
cereals rte malt-o-meal cocoa dyno-bites,850
cereals rte malt-o-meal frstd mini spooners,583
cereals rte malt-o-meal fruity dyno-bites,521
cereals rte ralston enr wheat bran flakes,619
cereals rte ralston corn biscuits,927
cereals rte ralston corn flakes,910
cereals rte ralston crispy hexagons,897
cereals rte usda cmdty corn  rice (includes all  brands),811
cereals rte usda cmdty rice crisps (includes all  brands),359
milk  crl bar,241
cereals malt-o-meal original pln prep w h2o wo salt,211
cereals malt-o-meal choc prep w h2o wo salt,315
cereals rte general mills choc lucky charms,552
cereals rte kellogg spl k fruit  yogurt,311
cereals rte kashi 7 whl grain flakes,749
cereals rte kashi heart to heart oat flakes  bluebry clstrs,735
cereals rte kashi organic promise cinn harvest,313
cereals rte kellogg's frstd mini-wheats bite size strawb del,979
cereals rte kellogg's spl k vanilla almond,303
cereals rte post great grains cranberry almond crunch,711
rice  wheat crl bar,626
cereals rte quaker quaker honey graham life crl,363
cereals rte quaker christmas crunch,281
cereals rte general mills cheerios yogurt burst strawberry,208
cereals rte post selects maple pecan crunch,556
cereals rte kashi go ln crunch! honey almond flax,593
cereals kashi go ln hot crl hearty honey  cinn dry,468
cereals kashi go ln hot crl creamy truly vanilla dry,823
cereals rte kashi 7 whl grain nuggets,209
cereals kashi heart to heart inst oatmeal appl cinn dry,713
cereals kashi heart to heart inst oatmeal gldn brwn mple dry,499
cereals rte nature's path organic flax plus pumpkin granola,931
cereals crm of wheat 2 12 minute cook time dry,237
cereals crm of wht 2 12 min ck ckd wh2o stove-top wosalt,132
cereals crm of wht 2 12 min cook time ckd wh2o mw wo salt,337
cereals crm of wheat 1 minute cook time dry,306
cereals crm of wheat 1 minute ckd w h2o stove-top wo salt,224
cereals crm of wheat 1 minute ckd w h2o microwaved wo salt,474
cereals rte general mills 25 less sugar cinn toast crunch,662
incaparina dry mix (corn  soy flours) unprep,371
cereals rte general mills dora the explorer,652
cereals rte general mills fruity cheerios,648
cereals rte kellogg's spl k chocolatey delight,578
cereals rte general mills 25 less sugar trix,320
cereals rte kellogg kellogg's spl k lofat granola,712
cereals rte kellogg kellogg's cinnabon crl,285
cereals rte kashi golean crisp tstd berry crumble,323
cereals rte kashi heart to heart warm cinn,838
cereals rte kashi organic promise island vanilla,701
cereals rte general mills cheerios banana nut,250
cereals rte general mills cheerios choc,103
cereals rte general mills choc chex,460
cereals rte general mills cinn chex,621
cereals rte general mills fiber one caramel delight,648
cereals rte general mills fiber one honey clusters,225
cereals rte general mills fiber one raisin bran clusters,726
cereals rte kellogg kellogg's spl k cinn pecan,820
cereals rte kellogg kellogg's spl k blueberry,894
cereals rte kashi berry blossom,426
cereals rte kashi honey sunshine,783
cereals rte kellogg's spl k multigrain oats  honey,776
cereals rte kellogg's crunchy nut golden honey nut flakes,338
cereals rte kellogg's frstd mini-wheats bite sz blueb muffin,725
cereals rte quaker cap'n crunch's halloween crunch,222
cereals rte quaker nat granola appl cranberry almond,813
cereals rte quaker maple brown sugar life crl,494
cereals rte quaker cap'n crunch's oops! all berries crl,574
cereals rte kellogg's frstd mini-wheats little bites choc,641
cereals rte quaker oatmeal squares golden maple,895
cereals rte post honey bunches of oats w vanilla bunches,228
cereals rte general mills pnut butter toast crunch,666
cereals rte general mills cocoa puffs 25 red sugar,279
cereals rte general mills oat cluster cheerios crunch,543
cereals quaker inst oatmeal cinn spice red sugar,541
cereals quaker inst oatmeal organic reg,592
cereals quaker inst oatmeal fruit  crm red sugar,189
cereals quaker inst oatmeal appl  cinn red sugar,211
cereals rte general mills honey kix,694
cereals rte kashi indigo morning,179
cereals rte kashi simply maize,874
cereals rte kashi golean crisp cinn crumble,679
cereals rte general mills fiber one 80 cal honey squares,776
cereals rte kellogg's krave choc crl,703
cereals rte kellogg's rice krispies gluten free,658
cereals rte post honey bunches of oats pecan bunches,333
cereals rte nature's path organic flax plus flakes,145
cereals rte barbara's puffins original,600
cereals rte kellogg's krave double choc crl,722
cereals rte kellogg's frstd flakes choco zucaritas,699
cereals rte kellogg's appl jacks w marshmallows,465
cereals rte kellogg's cinn jacks,140
cereals rte post honey bunches of oats w real strawberries,565
cereals rte kashi organic promise berry fruitful,936
cereals rte post honey bunches of oats w cinn bunches,636
cereals rte general mills cinn burst cheerios,924
cereals rte general mills fiber one nutty clusters  almonds,798
cereals rte general mills fiber one 80 cal choc squares,363
cereals rte general mills honey nut cheerios medley crunch,760
cereals rte general mills dulce de leche cheerios,193
cereals rte malt-o-meal choc marshmllw mateys,126
cereals rte malt-o-meal blueberry mini spooners,559
cereals rte malt-o-meal oat blenders w honey,987
cereals rte malt-o-meal oat blenders w honey  almonds,399
cereals rte malt-o-meal honey nut scooters,398
cereals rte kellogg's frstd mini-wheats touch fruit mdl rasp,263
cereals rte general mills appl cinn chex,591
cereals rte general mills frstd toast crunch,230
cereals oats inst fort maple  brown sugar dry,532
cereals rte cascadian farm cinn crunch,147
cereals rte general mills multi grain cheerios pnut butter,210
cereals rte cascadian farm multi-grain squares,598
cereals rte cascadian farm honey nut o's,819
cereals rte quaker whl hearts oat crl,605
cereals quaker wt control inst oatmeal maple  brown sugar,903
cereals quaker weight control inst oatmeal banana bread,776
cereals quaker inst oatmeal cinn swirl hi fiber,326
cereals quaker oatmeal real medleys blueberry hazelnut dry,943
cereals quaker oatmeal real medleys appl walnut dry,155
cereals quaker oatmeal real medleys smmr berry dry,629
cereals quaker oatmeal real medleys peach almond dry,957
cereals quaker oatmeal real medleys cherry pistachio dry,378
cereals quaker inst oatmeal weight control cinn,563
cereals rte kellogg kellogg's frstd mini-wheats little bites,866
cereals rte kellogg kellogg's raisin bran cinn almond,213
cereals rte kashi organic promise raisin vineyard,948
cereals rte kellogg's krave smores,766
cereals rte kellogg raisin bran w omega-3 from flaxseed,941
cereals rte kellogg kellogg's spl k multi-grain,593
cereals kellogg's spl k nourish cinn raisin pecan dry,897
cereals kellogg's spl k nourish cranberry almond dry,675
cereals kellogg's spl k nourish maple brown sugar crunch dry,576
cereals rte kashi golean vanilla graham clusters,112
cereals rte kellogg scooby-doo! crl,761
cereals rte kellogg's spl k choc almond,992
cereals rte kellogg's frstd mini-whts tch frt in mdle rasn,934
cereals rte mom's best swtnd wheat-fuls,751
cereals rte kellogg's spl k gluten free touch of brown sugar,662
cereals rte kellogg's spl k prot cinn brown sugar crunch,541
cereals rte kellogg kellogg's raisin bran w cranberries,676
acerola (west indian cherry) raw,285
acerola juice raw,696
apples raw with skin,668
apples raw without skin,485
